,Unnamed: 0,Name,Company,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage(km/kg),Engine(cc),Power(bhp),Seats,Price(in Lakh)
27,27,Maruti Alto K10,Maruti,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75
28,28,Honda WRV i-VTEC,Honda,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9
29,29,Toyota Innova 2.5,Toyota,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4
30,30,Renault Duster 110PS,Renault,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75
31,31,Toyota Corolla Altis,Toyota,Delhi,2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75
32,32,Mahindra Ssangyong Rexton,Mahindra,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5
33,33,Audi A6 2.7,Audi,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5
34,34,Volkswagen Vento 1.6,Volkswagen,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98
35,35,Maruti Wagon R,Maruti,Jaipur,2009,83816,Petrol,Manual,Second,14,1061,64,5,1.85
36,36,Maruti Vitara Brezza,Maruti,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63
37,37,Mahindra KUV 100,Mahindra,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82,5,4.85
38,38,Mercedes-Benz M-Class ML,Mercedes-Benz,Pune,2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28
39,39,Volkswagen Polo Diesel,Volkswagen,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5
40,40,Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25
41,41,Tata Nano LX,Tata,Kochi,2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53
42,42,Mahindra KUV 100,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,25.32,1198,77,6,5.58
43,43,Hyundai i20 Magna,Hyundai,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74
44,44,Hyundai Elantra 2.0,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85
45,45,Toyota Corolla Altis,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11
46,46,Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25
47,47,Toyota Innova Crysta,Toyota,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95
48,48,Hyundai Xcent 1.1,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,24.4,1120,71,5,3.85
49,49,Mahindra Thar CRDe,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5
50,50,Audi A4 2.0,Audi,Kochi,2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43
51,51,Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,22.9,1248,74,5,4.25
52,52,Maruti Swift Ldi,Maruti,Kolkata,2014,53000,Diesel,Manual,First,17.8,1248,75,5,3.3
53,53,Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,28.4,1248,74,5,3.85
54,54,Hyundai Grand i10,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6
55,55,Volkswagen Vento 2013-2015,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99
56,56,Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3
57,57,Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07
58,58,Nissan X-Trail SLX,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75
59,59,Maruti Zen Estilo,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25
60,60,Toyota Innova Crysta,Toyota,Mumbai,2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5
61,61,Ford Figo Diesel,Ford,Bangalore,2010,72000,Diesel,Manual,First,20,1399,68,5,2.75
62,62,Mercedes-Benz New C-Class,Mercedes-Benz,Delhi,2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7
63,63,Mercedes-Benz New C-Class,Mercedes-Benz,Pune,2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10
64,64,Tata Indica V2,Tata,Chennai,2016,178000,Diesel,Manual,First,25,1396,69,5,2.5
65,65,Audi A4 2.0,Audi,Jaipur,2012,65664,Diesel,Automatic,First,16.55,1968,140,5,13.5
66,66,Honda City ZX,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,16.4,1497,78,5,1.85
67,67,Mercedes-Benz C-Class Progressive,Mercedes-Benz,Coimbatore,2019,15369,Diesel,Automatic,First,0,1950,194,5,35.67
68,68,Maruti Ertiga SHVS,Maruti,Pune,2016,63000,Diesel,Manual,First,24.52,1248,88.5,7,8.15
69,69,Hyundai Creta 1.4,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,22.1,1396,88.7,5,10.5
70,70,Porsche Cayenne 2009-2014,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,8.5,4806,500,5,14.5
71,71,Mahindra XUV500 W8,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,15.1,2179,140,7,9.65
72,72,Hyundai i10 Sportz,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,16.95,1197,78.9,5,3.48
73,73,Nissan Terrano XV,Nissan,Kochi,2015,56066,Diesel,Manual,First,19.64,1461,108.5,5,6.92
74,74,Honda Brio VX,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5,1198,86.8,5,6.46
75,75,Audi A6 2.0,Audi,Delhi,2014,56000,Diesel,Automatic,Second,18.53,1968,187.74,5,29.5
76,77,Toyota Innova 2.0,Toyota,Chennai,2006,230000,Petrol,Manual,Third,12.4,1998,132,8,4.5
77,78,Toyota Innova 2.5,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,12.8,2494,102,7,11.75
78,80,Maruti Swift VDI,Maruti,Jaipur,2012,95100,Diesel,Manual,First,22.9,1248,74,5,3.75
79,81,Tata Zest Revotron,Tata,Pune,2017,70000,Petrol,Manual,First,17.57,1193,88.7,5,4.5
80,82,Honda Amaze SX,Honda,Kochi,2016,54944,Petrol,Manual,First,18,1198,86.7,5,4.82
81,83,Ford Figo Diesel,Ford,Hyderabad,2012,70337,Diesel,Manual,First,20,1399,68,5,2.8
82,84,Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,23.2,1248,73.94,5,3.11
83,85,Honda City i,Honda,Delhi,2009,52000,Petrol,Manual,First,17.8,1497,117.3,5,3.25
84,86,BMW 5 Series,BMW,Delhi,2011,75000,Diesel,Automatic,Second,16.73,1995,218,5,13.9
85,87,Hyundai i10 Sportz,Hyundai,Pune,2009,95980,Petrol,Manual,First,20.36,1197,78.9,5,2.25
86,88,Hyundai Grand i10,Hyundai,Bangalore,2016,16000,Petrol,Manual,First,18.9,1197,82,5,5.75
87,90,Honda Amaze SX,Honda,Mumbai,2016,18949,Petrol,Manual,First,17.8,1198,86.7,5,5
88,91,Toyota Fortuner 4x2,Toyota,Delhi,2014,107000,Diesel,Manual,First,13,2982,168.5,7,16.5
89,92,Audi A6 2011-2015,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,17.68,1968,174.33,5,39.58
90,93,Ford Ecosport 1.5,Ford,Delhi,2013,57000,Diesel,Manual,First,22.7,1498,89.84,5,5.5
91,94,Mahindra XUV500 W8,Mahindra,Delhi,2014,58000,Diesel,Manual,First,15.1,2179,140,7,8.1
92,95,Honda Amaze SX,Honda,Kolkata,2015,30000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
93,96,Volkswagen Polo Diesel,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,22.07,1199,73.9,5,2.79
94,97,Hyundai Verna Transform,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,16.2,1493,110,5,3.45
95,98,Maruti Wagon R,Maruti,Bangalore,2016,62000,Petrol,Manual,First,18.9,998,67.1,5,4.45
96,99,Volkswagen Polo Petrol,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,15.26,1598,103.5,5,2.65
97,100,Hyundai i20 1.4,Hyundai,Pune,2011,78958,Diesel,Manual,Second,23,1396,90,5,3.8
98,101,Hyundai i20 Asta,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,18.5,1197,82.85,5,4.65
99,102,Datsun GO Plus,Datsun,Pune,2017,32851,Petrol,Manual,First,19.83,1198,67,7,3.95
100,103,Audi A4 3.0,Audi,Kolkata,2010,30000,Diesel,Automatic,First,14.94,2967,241.4,5,9.8
101,104,Hyundai i20 2015-2017,Hyundai,Pune,2009,66000,Petrol,Manual,Second,17,1197,80,5,2.7
102,105,Maruti Omni 5,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,14,796,35,5,2.41
103,106,Toyota Etios Liva,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,17.71,1197,78.9,5,3.9
104,107,Jaguar XF 3.0,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74,2993,270.9,5,24
105,108,Mahindra XUV500 W8,Mahindra,Delhi,2012,65000,Diesel,Manual,Second,16,2179,140,7,5.75
106,109,Hyundai Verna 1.6,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,22.32,1582,126.32,5,5.25
107,110,Toyota Innova Crysta,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,11.36,2755,171.5,7,19.25
108,111,Maruti Eeco 5,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,15.1,1196,73,5,3.91
109,112,Tata Nano Twist,Tata,Bangalore,2014,25500,Petrol,Manual,First,25.4,624,37.5,4,2.15
110,113,BMW 3 Series,BMW,Mumbai,2015,56087,Diesel,Automatic,First,22.69,1995,190,5,20.75
111,114,Honda Civic 2006-2010,Honda,Delhi,2010,71088,Petrol,Manual,First,13.5,1799,130,5,3.35
112,115,Toyota Innova 2.5,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,12.99,2494,100.6,7,11.11
113,116,Volvo V40 Cross,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,23.3,1984,150,5,20
114,117,Nissan Micra XV,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,19.15,1198,75.94,5,6.55
115,118,BMW 5 Series,BMW,Mumbai,2009,128000,Petrol,Automatic,First,10.8,2497,215,5,7
116,119,Maruti Vitara Brezza,Maruti,Mumbai,2016,55000,Diesel,Manual,First,24.3,1248,88.5,5,7.5
117,121,Mercedes-Benz B Class,Mercedes-Benz,Pune,2014,53753,Diesel,Automatic,Second,15,2143,107.3,5,16.75
118,122,Hyundai Verna CRDi,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,22,1582,126.2,5,10.95
119,123,Maruti Wagon R,Maruti,Pune,2011,43874,Petrol,Manual,First,18.9,998,67.1,5,2.45
120,124,Tata Nano XTA,Tata,Coimbatore,2017,32684,Petrol,Automatic,First,21.9,624,37.48,4,3.23
121,125,Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000,Diesel,Manual,First,12.05,2179,120,8,7.75
122,126,Mercedes-Benz New C-Class,Mercedes-Benz,Kolkata,2009,28352,Petrol,Automatic,First,11.7,1796,178,5,9.35
123,127,Maruti Wagon R,Maruti,Pune,2013,89900,CNG,Manual,First,26.6,998,58.16,5,3.25
124,128,Honda CR-V 2.4,Honda,Bangalore,2007,47700,Petrol,Manual,Second,10.8,2354,152,5,5.25
125,129,Volkswagen Vento 1.5,Volkswagen,Pune,2015,55000,Diesel,Automatic,First,21.21,1498,103.2,5,7.25
126,130,Maruti Ciaz VXi,Maruti,Kochi,2017,44285,Petrol,Manual,First,20.73,1373,91.1,5,7.47
127,131,Mahindra XUV500 AT,Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,16,2179,140,7,13.25
128,132,Maruti Ritz VXI,Maruti,Coimbatore,2016,30232,Petrol,Manual,First,21.1,1197,85.8,5,5.81
129,133,Maruti Alto K10,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,24.07,998,67.1,5,2.6
130,134,Mercedes-Benz SLC 43,Mercedes-Benz,Kolkata,2017,13372,Petrol,Automatic,First,19,2996,362.07,2,54
131,135,Hyundai Verna VTVT,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,17,1591,121.3,5,11.5
132,136,Maruti Alto LXi,Maruti,Chennai,2010,94385,Petrol,Manual,Second,19.7,796,46.3,5,1.6
133,137,BMW 1 Series,BMW,Coimbatore,2015,31821,Diesel,Automatic,First,20.58,1995,143,5,17.22
134,138,Honda Jazz 1.2,Honda,Mumbai,2015,12000,Petrol,Automatic,First,19,1199,88.7,5,6
135,139,Honda Civic 2006-2010,Honda,Delhi,2012,88578,Petrol,Manual,First,13.5,1799,130,5,3.95
136,140,Mercedes-Benz New C-Class,Mercedes-Benz,Kochi,2014,44965,Diesel,Automatic,First,19.27,2143,170,5,17.95
137,141,Honda Amaze SX,Honda,Kolkata,2014,45044,Diesel,Manual,First,25.8,1498,98.6,5,3.7
138,142,Maruti Swift VVT,Maruti,Kochi,2016,34204,Petrol,Manual,First,22,1197,81.8,5,5.43
139,144,Toyota Fortuner 3.0,Toyota,Coimbatore,2012,91235,Diesel,Manual,First,11.5,2982,171,7,13.49
140,145,Chevrolet Beat LT,Chevrolet,Pune,2014,38800,Petrol,Manual,First,18.6,1199,76.8,5,2.85
141,146,Skoda Rapid 1.5,Skoda,Chennai,2013,83000,Diesel,Manual,First,21.14,1498,103.52,5,4.75
142,147,Maruti Ciaz 1.4,Maruti,Kochi,2018,41283,Petrol,Manual,First,20.73,1373,91.1,5,9.9
143,148,Audi RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,11.05,2894,444,4,37
144,149,BMW 3 Series,BMW,Mumbai,2014,48000,Diesel,Automatic,First,21.76,1995,190,5,26.5
145,150,Audi A4 2.0,Audi,Coimbatore,2015,48214,Diesel,Automatic,First,17.11,1968,174.33,5,23.32
146,151,Maruti Swift VDI,Maruti,Chennai,2016,35000,Diesel,Manual,First,22.9,1248,74,5,6.25
147,152,Mercedes-Benz S Class,Mercedes-Benz,Kolkata,2010,35277,Petrol,Automatic,First,7.81,5461,362.9,5,30
148,153,Skoda Rapid 1.5,Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,21.66,1498,103.52,5,9.86
149,154,Skoda Superb Elegance,Skoda,Pune,2012,136997,Diesel,Automatic,First,17.2,1968,138.1,5,8.5
150,155,Hyundai EON Magna,Hyundai,Kochi,2019,14322,Petrol,Manual,First,21.1,814,55.2,5,4.23
151,156,Volkswagen Polo Diesel,Volkswagen,Jaipur,2012,65634,Diesel,Manual,First,22.07,1199,73.9,5,3.5
152,157,Datsun GO NXT,Datsun,Kolkata,2016,6000,Petrol,Manual,First,20.63,1198,67.06,5,2.5
153,158,Honda Brio S,Honda,Kolkata,2013,33280,Petrol,Manual,First,19.4,1198,86.8,5,2.39
154,159,Mercedes-Benz B Class,Mercedes-Benz,Delhi,2013,29000,Petrol,Automatic,First,14.8,1595,120.7,5,11.25
155,160,Honda City i,Honda,Kochi,2015,42831,Diesel,Manual,First,26,1498,98.6,5,7.11
156,161,Toyota Innova 2.5,Toyota,Ahmedabad,2016,90000,Diesel,Manual,First,12.99,2494,100.6,7,10.9
157,162,Maruti Swift VXI,Maruti,Ahmedabad,2017,24005,Petrol,Manual,First,20.4,1197,81.8,5,6.2
158,163,Mahindra XUV500 W8,Mahindra,Mumbai,2012,32792,Diesel,Manual,First,15.1,2179,140,7,7.9
159,164,Ford Ecosport 1.5,Ford,Kochi,2014,147898,Diesel,Manual,First,22.7,1498,89.84,5,4.42
160,165,Toyota Fortuner 4x2,Toyota,Mumbai,2012,131765,Diesel,Manual,First,13,2982,168.5,7,13.5
161,166,Volkswagen Vento 1.5,Volkswagen,Chennai,2013,65000,Diesel,Automatic,First,21.5,1498,108.5,5,6.25
162,167,Ford Figo Diesel,Ford,Jaipur,2010,66123,Diesel,Manual,Second,20,1399,68,5,2.1
163,168,BMW X5 xDrive,BMW,Mumbai,2015,41000,Diesel,Automatic,First,15.3,2993,258,5,45
164,169,Mercedes-Benz New C-Class,Mercedes-Benz,Coimbatore,2017,23550,Diesel,Automatic,First,19.27,2143,167.62,5,33.66
165,170,Honda Brio V,Honda,Bangalore,2012,45000,Petrol,Manual,Second,19.4,1198,86.8,5,3.65
166,171,Hyundai i10 Magna,Hyundai,Delhi,2013,60000,Petrol,Manual,First,20.36,1197,78.9,5,2.75
167,172,Mercedes-Benz GLC 220,Mercedes-Benz,Bangalore,2016,44414,Diesel,Automatic,First,17.9,2143,170,5,42.5
168,173,Hyundai Grand i10,Hyundai,Kolkata,2019,1000,Petrol,Manual,First,18.9,1197,81.86,5,6.5
169,174,Audi A6 2011-2015,Audi,Mumbai,2012,62500,Diesel,Automatic,Second,17.68,1968,174.33,5,19
170,175,Volkswagen Vento Petrol,Volkswagen,Mumbai,2013,21000,Petrol,Automatic,Second,14.4,1598,103.6,5,4.45
171,176,Mini Countryman Cooper,Mini,Jaipur,2017,8525,Diesel,Automatic,Second,16.6,1998,112,5,23
172,177,Hyundai i20 Asta,Hyundai,Bangalore,2014,29000,Diesel,Manual,First,22.54,1396,88.73,5,8.35
173,178,Audi A6 2011-2015,Audi,Mumbai,2014,40000,Diesel,Automatic,First,17.68,1968,174.33,5,22.95
174,179,Chevrolet Beat Diesel,Chevrolet,Jaipur,2012,88000,Diesel,Manual,First,25.44,936,57.6,5,1.5
175,180,Skoda Superb Elegance,Skoda,Kochi,2012,53537,Petrol,Automatic,First,13.7,1798,157.75,5,6.89
176,181,Ford Fiesta 1.4,Ford,Chennai,2006,216000,Diesel,Manual,Second,17.8,1399,68,5,1.45
177,182,BMW 5 Series,BMW,Hyderabad,2014,51000,Diesel,Automatic,First,22.48,1995,190,5,33.5
178,183,Chevrolet Optra Magnum,Chevrolet,Jaipur,2007,118500,Petrol,Manual,First,12.9,1598,102.5,5,1.25
179,184,Volkswagen Polo Diesel,Volkswagen,Hyderabad,2012,63000,Diesel,Manual,First,22.07,1199,73.9,5,4.2
180,185,Renault Lodgy 110PS,Renault,Mumbai,2015,25000,Diesel,Manual,First,19.98,1461,108.5,8,6.75
181,186,Mercedes-Benz E-Class E250,Mercedes-Benz,Bangalore,2014,37382,Diesel,Automatic,First,13,2143,201.1,5,32
182,187,Maruti Baleno Alpha,Maruti,Kochi,2017,24773,Petrol,Manual,First,21.4,1197,83.1,5,7.5
183,188,Hyundai Verna 1.6,Hyundai,Delhi,2012,62000,Diesel,Manual,First,22.32,1582,126.32,5,4.6
184,189,Hyundai i10 Magna,Hyundai,Kochi,2017,52340,Petrol,Manual,First,19.81,1086,68.05,5,4.04
185,190,Mahindra Scorpio 1.99,Mahindra,Kochi,2016,56739,Diesel,Manual,First,15.4,1997,120,7,10.31
186,191,Land Rover Range,Land,Coimbatore,2018,36091,Diesel,Automatic,First,12.7,2179,187.7,5,55.76
187,192,Ford Figo Diesel,Ford,Chennai,2010,120000,Diesel,Manual,First,20,1399,68,5,2.6
188,193,Maruti Ertiga ZDI,Maruti,Mumbai,2016,33000,Diesel,Manual,First,25.47,1248,88.5,7,8.5
189,194,Honda City 1.5,Honda,Ahmedabad,2007,60006,Petrol,Manual,First,0,1620,113.1528635,5,2.95
190,195,Honda Amaze S,Honda,Kolkata,2014,52000,Diesel,Manual,First,25.8,1498,98.6,5,3.5
191,196,Hyundai i10 Magna,Hyundai,Jaipur,2015,43571,Petrol,Manual,First,20.36,1197,78.9,5,3.55
192,197,Honda Amaze S,Honda,Kolkata,2013,50000,Diesel,Manual,First,25.8,1498,98.6,5,3.25
193,198,Skoda Laura Ambiente,Skoda,Hyderabad,2008,113000,Diesel,Manual,First,17.5,1896,106,5,4.5
194,199,Renault Duster 85PS,Renault,Delhi,2014,90000,Diesel,Manual,First,19.87,1461,83.8,5,5.35
195,200,Mahindra NuvoSport N6,Mahindra,Chennai,2017,29000,Diesel,Manual,Second,17.45,1493,100,7,6.5
196,201,Maruti Vitara Brezza,Maruti,Mumbai,2016,20000,Diesel,Manual,First,24.3,1248,88.5,5,9
197,202,Hyundai i20 Asta,Hyundai,Kochi,2016,61012,Petrol,Manual,First,18.6,1197,81.83,5,6
198,203,Skoda Fabia 1.4,Skoda,Jaipur,2009,87459,Petrol,Manual,First,14.7,1390,85,5,2.75
199,204,Tata Indigo eCS,Tata,Pune,2010,70500,Petrol,Manual,First,15.64,1193,64.1,5,1.5
200,205,Audi Q3 2012-2015,Audi,Delhi,2015,64103,Diesel,Automatic,First,15.73,1968,174.33,5,19.9
201,206,Skoda Octavia Elegance,Skoda,Mumbai,2014,76000,Petrol,Automatic,First,14.7,1798,177.5,5,10
202,207,Toyota Etios Liva,Toyota,Delhi,2014,104000,Diesel,Manual,First,23.59,1364,67.06,5,3
203,208,Maruti Swift 1.3,Maruti,Kolkata,2010,42001,Petrol,Manual,First,16.1,1620,113.1528635,5,2.11
204,209,Mercedes-Benz B Class,Mercedes-Benz,Kochi,2014,37245,Petrol,Automatic,First,14.8,1595,120.7,5,11.96
205,210,Honda Amaze S,Honda,Kolkata,2013,45000,Diesel,Manual,First,27.4,1498,98.6,5,3.25
206,211,Hyundai Verna 1.6,Hyundai,Jaipur,2012,117837,Diesel,Manual,Second,22.32,1582,126.32,5,4.75
207,212,Renault Duster 85PS,Renault,Mumbai,2014,30000,Diesel,Manual,First,20.46,1461,83.8,5,5.95
208,213,Hyundai Creta 1.6,Hyundai,Delhi,2015,27057,Petrol,Manual,Second,15.29,1591,121.3,5,8.15
209,214,Maruti Wagon R,Maruti,Mumbai,2016,8500,Petrol,Automatic,First,20.51,998,67,5,4.22
210,215,Mercedes-Benz New C-Class,Mercedes-Benz,Kolkata,2010,30500,Petrol,Automatic,First,11.74,1796,186,5,10.5
211,216,Audi A8 L,Audi,Delhi,2012,56000,Diesel,Automatic,First,11.8,2967,246.7,5,45
212,217,Hyundai i10 Magna,Hyundai,Pune,2012,44000,Petrol,Manual,Second,19.81,1086,68.05,5,2.9
213,218,Skoda Rapid 1.6,Skoda,Mumbai,2017,10500,Petrol,Automatic,First,14.3,1598,103.52,5,8.9
214,219,Skoda Superb Style,Skoda,Hyderabad,2017,26000,Petrol,Automatic,First,14.67,1798,177.46,5,26
215,220,Hyundai i20 Active,Hyundai,Coimbatore,2018,25166,Petrol,Manual,First,17.19,1197,81.86,5,8.22
216,221,Honda Amaze VX,Honda,Kolkata,2014,64000,Diesel,Manual,Second,25.8,1498,98.6,5,3.5
217,222,Maruti Wagon R,Maruti,Chennai,2004,61000,Petrol,Manual,Second,18.9,998,67.1,5,1.25
218,223,Mahindra Verito 1.5,Mahindra,Hyderabad,2013,107000,Diesel,Manual,First,21.03,1461,65,5,3.7
219,224,Mercedes-Benz New C-Class,Mercedes-Benz,Coimbatore,2018,29161,Diesel,Automatic,First,19.27,2143,167.62,5,39.41
220,225,Maruti Wagon R,Maruti,Kolkata,2013,32000,Petrol,Manual,First,22.5,998,67.04,5,2.65
221,226,Nissan Terrano XV,Nissan,Coimbatore,2015,46173,Diesel,Manual,Second,19.01,1461,108.5,5,8.92
222,228,Mini Cooper Convertible,Mini,Kochi,2017,26327,Petrol,Automatic,First,16.82,1998,189.08,4,35.67
223,229,Ford Figo Diesel,Ford,Bangalore,2015,70436,Diesel,Manual,First,0,1498,99,5,3.6
224,230,Tata Indica V2,Tata,Jaipur,2007,200000,Diesel,Manual,Second,17.2,1396,53.5,5,0.85
225,231,Chevrolet Beat LT,Chevrolet,Kochi,2016,60813,Petrol,Manual,Second,18.6,1199,76.8,5,3.32
226,232,Volkswagen Polo Diesel,Volkswagen,Mumbai,2012,45000,Diesel,Manual,First,22.07,1199,73.9,5,3.6
227,233,Maruti Swift ZDi,Maruti,Hyderabad,2016,64000,Diesel,Manual,First,22.9,1248,74,5,6.8
228,234,Ford Figo Diesel,Ford,Kolkata,2012,41284,Diesel,Manual,First,20,1399,68.05,5,2.5
